Tweet,Num_Favorites,Num_Retweets,Num_Followers,Created_At,id
Happy birthday Renjun,61428,29945,596758,2020-03-22 21:05:27,1241833393265897473
"Our hospitals are out of gloves, masks, gowns, respirators, protective shoe coverings, and basic supplies!  What the hell more is Trump waiting for? Hey stupid, this is the worst case scenario!",107408,27217,1260014,2020-03-22 21:20:03,1241837068013244418
THIS THIS THIS OVER AND OVER AGAIN. THIS. Please watch and share. Brilliantly and simply put. https://t.co/LAlAvq0jg7,158357,110172,1628408,2020-03-22 21:27:09,1241838854891622401
This is the best and clearest explanation of why people need to stay at home you could ever wish to see https://t.co/49MgadlctI,76102,48588,38850,2020-03-22 22:50:57,1241859943017349126
"Trump is incompetent, dishonest and profoundly indecent.  His staggering incapacity for moral leadership in this unprecedented moment is hard to overstate. His empty boasting, dishonesty, blame gaming, lack of empathy and fragile ego are a deadly combination of traits right now",96942,26242,619461,2020-03-22 22:58:18,1241861791233212416
day 10 of being in quarantine together...I taught him the savage dance. https://t.co/3gQMKyrEKt,225250,22013,1539635,2020-03-22 23:58:11,1241876860654555136
"Just as an FYI 
That entrance costume was super heavy ....
Like 45 lbs .....
My legs were shot...
Only reason Daniel beat me !!!!!! https://t.co/iyYdTLw50t",239495,31772,7416921,2020-03-23 00:18:53,1241882069212565504
"Senate democrats just blocked a relief package aimed at helping working class families pay their bills. 

I will never forget that democrats voted NO to helping Americans during our time of need. 

Your families are taken care of, but you voted against us.",37743,17497,486237,2020-03-23 00:43:03,1241888152203284481
"Some of my Republican colleagues are calling for a $1,000, one-time check to Americans.

Really?

That'll last you two or three weeks. What happens after that?

We need to give every person in this country $2,000 a month for the duration of this crisis.",233468,44926,11601234,2020-03-23 00:45:43,1241888823191224321
I swear to god if any of you go outside and break Danny DeVito’s heart https://t.co/Y6JcvWJ1Nw,251008,72597,34925,2020-03-23 01:01:40,1241892837714800647
"My friend (always there when I’ve needed him!), Senator @RandPaul, was just tested “positive” from the Chinese Virus. That is not good! He is strong and will get better. Just spoke to him and he was in good spirits.",196712,30809,75463764,2020-03-23 01:20:08,1241897485779468288
"[기사] ‘Learn Korean With #BTS’ Aims To Break Down Language Barrier &amp; Further Connect Global Fans 
 https://t.co/uAVxt6hloT",292584,71138,13232940,2020-03-23 01:22:14,1241898013733212165
"Reported US coronavirus cases via @CNN:

3/1: 89
3/2: 105
3/3: 125
3/4: 159
3/5: 227
3/6: 331
3/7: 444
3/8: 564
3/9: 728
3/10: 1,000
3/11: 1,267
3/12: 1,645
3/13: 2,204
3/14: 2,826
3/15: 3,505
3/16: 4,466
3/17: 6,135
3/18: 8,760
3/19: 13,229
3/20: 18,763
3/21: 25,740
Now: 32,502",33573,18421,57080,2020-03-23 01:24:53,1241898681139331078
Be smart and stay safe! https://t.co/EG13QlA2iv,161414,41907,2241798,2020-03-23 02:26:43,1241914242225209344
"I watch and listen to the Fake News, CNN, MSDNC, ABC, NBC, CBS, some of FOX (desperately &amp; foolishly pleading to be politically correct), the @nytimes, &amp; the @washingtonpost, and all I see is hatred of me at any cost. Don’t they understand that they are destroying themselves?",221555,47338,75463764,2020-03-23 03:28:00,1241929664987148289
"WE CANNOT LET THE CURE BE WORSE THAN THE PROBLEM ITSELF. AT THE END OF THE 15 DAY PERIOD, WE WILL MAKE A DECISION AS TO WHICH WAY WE WANT TO GO!",324495,62617,75463764,2020-03-23 03:50:20,1241935285916782593
"I swear to God, it would not surprise me to see hordes of American citizens drag these obstructionist scum out of Congress by their hair. Word to the wise: our patience is truly wearing thin. #NancyChokesWhilePeopleGoBroke",75819,26745,2309133,2020-03-23 04:25:09,1241944045204602880
New Episode of Bretman the Science Bitxh on IG 😘✨🌋 https://t.co/9uQlaKeVqr,186467,32937,4578942,2020-03-23 04:49:10,1241950092220698624
"We will not forget this. More businesses are closing tomorrow while you peddle this lie. You literally stopped a good bill because it *didn’t have enough red tape*. You hate American businesses so much that you would sacrifice our economy out of pure contempt.  

#wewillnotforget https://t.co/mhDXytxZh8",48883,18271,800516,2020-03-23 05:25:33,1241959245261701121
Um so tik tok showed me this app called Super Cook anddddd basically you input everything you have in your fridge/pantry and it gives you HELLA recipes I’m living!!!!,176731,20882,126174,2020-03-23 06:19:03,1241972710730641408
"🤫 
💯ways
#100wayschallenge #100WaysWithJackson https://t.co/oxVgTJqvbh",71884,24652,1600469,2020-03-23 06:31:58,1241975959584006146
I'm over 70 and won't be able to sleep tonight after reading this. Trump is in the way of getting enough equipment to save lives. We cannot wait until November. Resignarion or 25th Amendment now. https://t.co/i98PIk704N,24172,9728,395999,2020-03-23 08:07:24,1241999975749423107
We are in the middle of an international pandemic and the Democrats’ lead candidate has literally disappeared from the face of the earth. Is this a preview of how he would lead. It’s truly terrifying. “Joe!” #WhereIsJoeBiden  #JoeBiden #WuhanCoronaVirus https://t.co/eROCFrXdZ0,49024,17354,2309133,2020-03-23 08:42:19,1242008763059453953
"[WayV-log] Drum Time: HENDERY
⠀
-URL: https://t.co/FeTkmp13pp
⠀
#WayV #WeiShenV #威神V
#HENDERY #黄冠亨 https://t.co/T228VdgTsR",53630,25556,888361,2020-03-23 09:00:00,1242013215191490560
